Time,Open,High,Low,Last,Change,%Chg,Volume
"11/29/2024 13:00",602.46,602.55,602.45,602.55,0.1,+0.02%,1626228
"11/29/2024 12:55",602.93,602.935,602.3,602.45,-0.4801,-0.08%,3379904
"11/29/2024 12:50",603.2,603.33,602.78,602.9301,-0.2749,-0.05%,1132738
"11/29/2024 12:45",603.16,603.24,603.07,603.205,0.045,+0.01%,472035
"11/29/2024 12:40",603.2,603.24,603.03,603.16,-0.035,-0.01%,503374
"11/29/2024 12:35",603.24,603.35,603.12,603.195,-0.035,-0.01%,495786
"11/29/2024 12:30",602.83,603.24,602.82,603.23,0.4,+0.07%,653530
"11/29/2024 12:25",602.8,603.03,602.75,602.83,0.025,0.00%,386714
"11/29/2024 12:20",603.205,603.205,602.75,602.805,-0.405,-0.07%,535800
"11/29/2024 12:15",602.97,603.26,602.905,603.21,0.24,+0.04%,264017
"11/29/2024 12:10",603.06,603.06,602.86,602.97,-0.0901,-0.01%,281059
"11/29/2024 12:05",602.83,603.1895,602.78,603.0601,0.2301,+0.04%,377847
"11/29/2024 12:00",602.7,602.83,602.59,602.83,0.14,+0.02%,139358
"11/29/2024 11:55",602.83,602.83,602.625,602.69,-0.15,-0.02%,218104
"11/29/2024 11:50",602.6408,602.89,602.6099,602.84,0.2099,+0.03%,256651
"11/29/2024 11:45",602.435,602.7,602.43,602.6301,0.1902,+0.03%,172852
"11/29/2024 11:40",602.1999,602.44,602.1999,602.4399,0.24,+0.04%,160777
"11/29/2024 11:35",602.202,602.26,602.06,602.1999,-0.0101,0.00%,135519
"11/29/2024 11:30",602.325,602.39,602.2,602.21,-0.12,-0.02%,207938
"11/29/2024 11:25",602.34,602.38,602.22,602.33,-0.015,0.00%,234966
"11/29/2024 11:20",602.12,602.37,602.1149,602.345,0.235,+0.04%,236500
"11/29/2024 11:15",602.215,602.3897,602.09,602.11,-0.0901,-0.01%,308942
"11/29/2024 11:10",602.07,602.22,601.96,602.2001,0.1401,+0.02%,168496
"11/29/2024 11:05",601.89,602.16,601.8,602.06,0.16,+0.03%,159456
"11/29/2024 11:00",601.81,602.04,601.81,601.9,0.09,+0.01%,241146
